CD_GEOCODMU;LONG;LAT
2105500;-47,40503615;-5,453662942
2105609;-44,69915256;-4,972693329
2105658;-46,07072607;-1,874609598
2105708;-45,12589136;-4,564744515
2105807;-45,05134439;-4,607643218
2105906;-44,93763523;-4,038711295
2105922;-43,52755912;-6,045277297
2105948;-44,97644233;-4,612375777
2105963;-45,39061428;-4,993123737
2105989;-47,03244752;-6,191609227
2106003;-44,46934033;-4,517045987
2106102;-45,13924164;-7,094454165
2106201;-45,89533199;-1,325460244
2106300;-42,20150669;-3,396667674
2106326;-45,95863904;-2,05616455
2106359;-45,45723765;-4,620313324
2106375;-45,85561145;-2,235616992
2106409;-43,12038942;-3,61904551
2106508;-45,03642894;-3,09840003
2106607;-43,20120828;-5,522465019
2106631;-44,55024451;-3,62751878
2106672;-42,61075283;-3,582206641
2106706;-44,36260979;-6,377565695
2106755;-44,58427569;-3,562644774
2106805;-44,78575599;-2,064224192
2106904;-45,24758467;-3,49393248
2107001;-47,07043951;-5,828562504
2107100;-44,04454454;-2,861478953
2107209;-43,90448476;-3,462464289
2107258;-46,25932522;-7,120566004
2107308;-44,04862673;-6,733203306
2107357;-45,70453604;-2,799886544
2107407;-45,11957962;-4,13727593
2107456;-45,00323537;-2,997477615
2107506;-44,09869235;-2,528063
2107605;-44,90446389;-2,647774278
2107704;-43,98576205;-6,431825414
2107803;-43,09040135;-5,684467176
2107902;-43,78174523;-6,173994426
2108009;-44,08860251;-6,604027732
2108058;-42,54542398;-2,71820599
2108108;-45,23998;-4,447956766
2108207;-44,60373488;-4,569350688
2108256;-45,34645373;-2,968114673
2108306;-45,17646169;-3,293233318
2108405;-44,8502907;-2,573054649
2108454;-44,32585352;-4,370225118
2108504;-45,34686792;-3,605500575
2108603;-45,0839266;-2,5227405
2108702;-45,16996039;-3,88758753
2108801;-44,22828088;-3,725329066
2108900;-44,9515514;-4,750025211
2109007;-47,3821649;-6,354181864
2109056;-44,58374789;-1,857223215
2109106;-44,49291886;-5,282374258
2109205;-44,07677942;-2,928229246
2109239;-45,82070865;-2,383664047
2109270;-45,37130226;-2,59553056
2109304;-44,03340187;-3,402011522
2109403;-43,4424433;-2,510583172
2109452;-44,10251616;-2,415074903
2109502;-46,62335014;-7,364565
2109551;-47,38347779;-5,933822859
2109601;-44,2475186;-2,941543035
2109700;-45,3442032;-7,138350897
2109759;-44,56371404;-5,499766807
2109809;-45,30516119;-2,234532509
2109908;-45,37827245;-3,65857452
2110005;-45,66501172;-3,968391465
2110039;-45,77646156;-2,546161475
2110104;-42,56287301;-3,498484995
2110203;-44,31994808;-3,134116766
2110237;-42,40076776;-3,113068343
2110278;-43,25528494;-2,502721199
2110302;-44,36144743;-4,873819576
2110401;-43,52999187;-3,332766004
2110500;-44,82834518;-2,6970075
2110609;-42,42300966;-3,36543651
2110658;-44,65042391;-6,80442501
